place_id;Юридическое лицо, на имя которого выдано регистрационное удостоверение;"Торговое наименование
лекарственного препарата"
ChIJsQrpg-dKtUYR-HoJoprREHs;Красфарма ОАО;Цефепим
ChIJieZTUhNKtUYR-gKL6naxjzU;"Федеральное государственное унитарное предприятие ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген"" Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)";Простаты крупного рогатого скота экстракт концентрированный жидкий
;"АО ""Медхим""";Вазелин
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;Асфарма ООО;Эуфиллин
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"Открытое акционерное общество ""Авексима""";ЭУФИЛЛИН АВЕКСИМА
ChIJafQvE983tUYRPbvjlUgEH3o;"Общество с ограниченной ответственностью ""Анжеро-Судженский химико-фармацевтический завод""";Эуфиллин Авексима
;"Общество с ограниченной ответственностью  ""Авексима Сибирь""";ЭУФИЛЛИН АВЕКСИМА
ChIJI4yfn75OtUYRGG4VQOaQWXs;"ОАО  ""Фармацевтический завод ЭГИС""";Мелофлам
ChIJI4yfn75OtUYRGG4VQOaQWXs;"ЗАО ""Фармацевтический завод ЭГИС""";Мелофлам®
ChIJC5U4GoA1tUYRoZovpZ-wfjI;Полихем С.А.;Вагинорм-С®
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"Открытое акционерное общество ""Авексима""";Ранитидин
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"ОАО ""Ирбитский химфармзавод""";Ранитидин
;Ирбитский ХФЗ ОАО;Анаприлин
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"Открытое акционерное общество ""Авексима""";Анаприлин
ChIJfXUVSz9KtUYRQNT2nzsvvmw;Зентива а.с.;Парален® экстра
ChIJfXUVSz9KtUYRQNT2nzsvvmw;Зентива к.с.;Парален® Экстра
ChIJm3B8sINMtUYRTPc2C-3HsQo;Эколаб ЗАО;Муравьиный спирт
ChIJm3B8sINMtUYRTPc2C-3HsQo;"Закрытое акционероное общество ""ЭКОлаб"" (ЗАО ""ЭКОлаб"")";Муравьиный спирт
ChIJHTRqI8LKSkERuw4Luplp0K0;Брянская областная станция переливания крови ГУЗ;Альбумин
;"Государственное бюджетное учреждение здравоохранения ""Брянская областная станция переливания крови""";Альбумин
ChIJWzVIbI85tUYRlTbKa0ve3tE;Синтез ОАО;Лефлобакт
;"ООО ""Асфарма""";Йод
;"ООО ""Гирудофарм""";Пиявка медицинская
ChIJhUGBfDA2tUYRxqrqgoCKSYQ;"Государственное учреждение здравоохранения ""Республиканская станция переливания крови""";Криопреципитат
ChIJfc2KK7qtSkERmQNGKtfCpNU;"ЗАО ""Фармцентр ""ВИЛАР""";Валерианы экстракт
ChIJY83Q7CrTSkER4MHnT6ofxlc;"Открытое акционерное общество ""Валента Фармацевтика""";9 месяцев Фолиевая кислота
ChIJY83Q7CrTSkER4MHnT6ofxlc;"Открытое акционерное общество ""Валента Фармацевтика"" (ОАО ""Валента Фарм"")";9 месяцев Фолиевая кислота
ChIJY83Q7CrTSkER4MHnT6ofxlc;"Публичное акционерное общество ""Валента Фармацевтика"" (ПАО ""Валента Фарм"")";9 месяцев Фолиевая кислота
ChIJTyK6ImA5tUYRQLQBzlUGo5Q;"Открытое акционерное общество ""Акционерное Курганское общество медицинских препаратов и изделий ""Синтез"" (ОАО ""Синтез"")";Хондроитин сульфат натрия
ChIJp-ivQzO1SkERD45vqXVOI_Q;"Закрытое акционерное общество ""Макиз-Фарма""";Ванкомицин
ChIJCbR2ESi1SkER5Cwm7WxPViI;"ЗАО ""Фармгид""";Ванкомицин
;Юли Канти Джинксинг Ликорайс Продактс Ко.Лтд;Тринатриевая соль глицирризиновой кислоты
ChIJu4nq5OHPSkERVN5v6SzNWAI;Химфарм АО;Капреомицина сульфат
;"АО ""Химфарм""";Капреомицина сульфат
ChIJf5WJuQNLtUYR53XHU6jH9zM;"АО ""Актавис Групп""";Антабус
;Актавис Групп ПТС ехф;Антабус
;СТ Фарм Ко. Лтд;Теризидон
;"Государственное бюджетное учреждение здравоохранения Свердловской области ""Областная станция переливания крови"" (ГБУЗ СО ""ОСПК"")";Плазма человека для фракционирования
;Вертекс Экспортс;Вербутин
;Бионген Ко.Лтд;Ванкомицина гидрохлорид
ChIJafQvE983tUYRPbvjlUgEH3o;"Закрытое акционерное  общество ""Московская фармацевтическая фабрика"" (ЗАО ""Московская фармацевтическая фабрика"")";Прополиса настойка
ChIJN5t4CjesSkERQ1DK79U7f40;Вифитех ЗАО;Моркови дикой плодов экстракт жидкий
;Актавис Групп ПТС ехф;Нотирол
ChIJ3yVtE0LJSkER5dTUFzQKhew;"ЗАО ""Фармацевтическое научно-производственное предприятие ""Ретиноиды"" (ЗАО ""Ретиноиды"")";Фенол
ChIJw6CGOPCxSkERZdlGuKq0HOk;НПО Петровакс Фарм ООО;Полиоксидоний®
;"ОАО ""Кировская фармацевтическая фабрика""";Эвкалипта настойка
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Алкалоид АО;Сейзар
ChIJm-cMzrhLtUYRXMTQxK4KaM0;Мерк Шарп и Доум Б.В., Нидерланды;Сингуляр®
ChIJm-cMzrhLtUYRXMTQxK4KaM0;Мерк Шарп и Доум Б.В.;Сингуляр®
ChIJ1ev-xNpMtUYRfeRXGKz2phs;Торрент Фармасьютикалс Лтд;Небиватор
ChIJ1ev-xNpMtUYRfeRXGKz2phs;Торрент Фармасьютикалс Лтд;Небиватор®
;"ОАО ""Нижегородский химико-фармацевтический завод"" (ОАО ""Нижфарм"")";Мочевина
;С.П.Инкомед Пвт.Лтд;Цикло плюс
;С.П. Инкомед Пвт. Лтд;Цикло плюс
;Рекордати Ирландия Лтд;Урорек
;"Открытое акционерное общество ""Татхимфармпрепараты"" (ОАО ""Татхимфармпрепараты"" )";Этиловый спирт
ChIJs60Km8KtSkERvG2zW1VWZuw;"ЗАО ""Иван-чай""";Дуба кора
ChIJs60Km8KtSkERvG2zW1VWZuw;ЗАО «Иван-Чай»;Дуба кора
ChIJs60Km8KtSkERvG2zW1VWZuw;"АО ""Иван-чай""";Дуба кора
ChIJYzPv99tLtUYRalBsxwU0Yuo;ЮСБ Фарма С.А.;Вимпат
ChIJYzPv99tLtUYRalBsxwU0Yuo;ЮСБ Фарма С.А.;Вимпат®
;Лиомарк Фарма ГмбХ;Альвеофакт®
ChIJrybe6-dKtUYRzLFutFZe3vE;Астеллас Фарма Юроп Б.В.;Супракс® Солютаб®
ChIJrybe6-dKtUYRzLFutFZe3vE;Астеллас Фарма Юроп Б.В.;Цефорал Солютаб
ChIJl4iGdHI1tUYRPpuMLBy-t98;"Акционерное общество ""ВЕРОФАРМ"" (АО ""ВЕРОФАРМ"")";Веро-Нетилмицин
ChIJl4iGdHI1tUYRPpuMLBy-t98;"ОАО ""Верофарм""";Веро-Нетилмицин
ChIJZRSNiylLtUYR4eAX_BGvjuo;"ООО ""Новомед""";Этаперазин
ChIJd6COwHJNtUYRuWgi5sNziCk;Вокхард Лимитед;Метадиен
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Розфарм ООО;Бромгексин
;"Общество с ограниченной ответственностью ""РОЗЛЕКС ФАРМ"" (ООО ""РОЗЛЕКС ФАРМ"")";Бромгексин
ChIJb5YieAlMtUYRC59u2Jeuyhg;"Закрытое Акционерное Общество ""ЭВАЛАР"" (ЗАО ""ЭВАЛАР"")";АкваМастер®
;Сановель Фармако-индустриальная торговая компания;Лоэнзар-сановель
;Чжэцзян Хайсан Фармасьютикал Ко.Лтд;Адеметионина 1,4-бутандисульфонат
ChIJwdZscsxItUYRwBvUzbsfqKo;"Общество с ограниченной ответственностью ""Лексиръ""";Левофлоксацина гемигидрат
ChIJm5FQtSFLtUYRcLjIkK1z0wI;Рекитт Бенкизер Хелскэр Интернешнл Лтд;Нурофен для детей
ChIJm5FQtSFLtUYRcLjIkK1z0wI;Рекитт Бенкизер Хелскэр Интернешнл Лтд;Нурофен® для детей
ChIJw6CGOPCxSkERZdlGuKq0HOk;"ООО ""Фармацевтическая компания ""ПЕТРОВАКС"" (ООО ФК ""ПЕТРОВАКС"")";Гриппол® Нео [Вакцина гриппозная тривалентная инактивированная субъединичная адъювантная]
ChIJ_____x5LtUYRKg6OSobmORU;Лаборатории Сервье;Диабетон МВ
ChIJ_____x5LtUYRKg6OSobmORU;Лаборатории Сервье;Диабетон® МВ
;"Фармацевтический завод ""Польфарма"" АО";Инфлюблок
;"Фармацевтический завод ""ПОЛЬФАРМА"" АО";Инфлюблок
ChIJ4xjzpN1LtUYRDv4p0PPL69Y;Пфайзер Инк;Энбрел
ChIJn4MADSRGtUYRkpti9eVzysk;Пранафарм ООО;Бисопролол-Прана
;"Общество с ограниченной ответственностью ""ПРАНАФАРМ"" (ООО ""ПРАНАФАРМ"")";Бисопролол-Прана
ChIJ-ZQGNPVItUYRu5Y8oRzS49A;"ООО ""Диамед""";Фосфотех, 99mTc
ChIJe_0Uoc9ItUYRcRTP3lm7PSQ;Джонсон & Джонсон ООО;Вивитрол
ChIJe_0Uoc9ItUYRcRTP3lm7PSQ;"ООО ""Джонсон & Джонсон""";Вивитрол
ChIJT6OYP5-0SkERYlHyYw8YBHM;Лек д.д.;Пирамил®
ChIJP9rRaspJtUYRN5_yqYcXiKY;Сандоз д.д.;Пирамил®
ChIJmSbw8aY_tUYRMwI1ASuUhxY;"ОАО ""Фармацевтическая фабрика Санкт-Петербурга""";Ацикловир
;"ОАО Научно-производственный концерн ""ЭСКОМ""";Рингера раствор
ChIJqUEjAnJKtUYRfGverscRpY0;"ООО ""Эн.Си.Фарм""";Цефоперазон натрия+Сульбактам натрия
ChIJI3pnC8A2tUYRELgrYngPJCg;"Общество с ограниченной ответственностью ""КОМПАНИЯ ""ДЕКО"" (ООО ""КОМПАНИЯ ""ДЕКО"")";Винпоцетин
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Балканфарма - Дупница АД;Индипам
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд.;Индапамид-Тева
ChIJu4nq5OHPSkERVN5v6SzNWAI;"ОАО ""Тюменский химико-фармацевтический завод""";Панкреатин-ЛекТ
;"Открытое акционерное общество ""Тюменский химико-фармацевтический завод"" (ОАО ""ТХФЗ"")";Панкреатин-ЛекТ
;Донг-А Фармтех;Зидена
;Меззион Фарма Ко., Лтд.;Зидена
;Донг-А Фарматех;Зидена
;"Общество с ограниченной отвественностью ""Валента-Интеллект"" (ООО ""Валента-Интеллект"")";Зидена®
ChIJafQvE983tUYRPbvjlUgEH3o;"Закрытое акционерное  общество ""Московская фармацевтическая фабрика"" (ЗАО ""Московская фармацевтическая фабрика"")";Контратекс®
ChIJN5t4CjesSkERQ1DK79U7f40;Вифитех ЗАО;Крапивы экстракт жидкий
ChIJn_8YrSBNtUYRxyUlP-UJ5Yw;Сан Фармасьютикал Индастриз Лтд;Элефлокс
ChIJY5alyXk2tUYRlxyBZb2_pAM;Ранбакси Лабораториз Лимитед;Элефлокс
ChIJ70mdvUhMtUYRxhL6U89CfeI;Борщаговский ХФЗ ЗАО НПЦ;Аллохол
;"Публичное акционерное общество ""Научно-производственный центр ""Борщаговский химико-фармацевтический завод""";Аллохол
;"ООО ""МагикФарм""";Борная кислота
;Аарти Драгс Лимитед;Пиоглитазона гидрохлорид
;"Акционерное общество ""Татхимфармпрепараты"" (АО ""Татхимфармпрепараты"" )";Этиловый эфир альфа-бромизовалериановой кислоты
ChIJ1zmbgUmtSkER_hO3YJ3iw_I;Северная звезда ЗАО;Мелоксикам
ChIJ17ogUk02tUYRraUjT8ysTXs;"Закрытое акционерное общество ""Северная звезда""";Мелоксикам
ChIJ1zmbgUmtSkER_hO3YJ3iw_I;"Закрытое акционерное общество ""Северная звезда"" (ЗАО ""Северная звезда"")";Мелоксикам-СЗ
